code,system
Eu60z00,readv2
E21..00,readv2
Eu62y00,readv2
Eu62100,readv2
Eu62z00,readv2
Eu62000,readv2
Eu62.00,readv2
E2C..00,readv2
E2C4.00,readv2
E216.13,readv2
Eu60200,readv2
Eu60713,readv2
E214.11,readv2
Eu34012,readv2
Eu60y12,readv2
Eu60412,readv2
Eu60714,readv2
Eu60213,readv2
E211100,readv2
Eu60013,readv2
Eu60z11,readv2
Eu62y11,readv2
E21y600,readv2
E21z.00,readv2
Eu34112,readv2
Eu60800,readv2
Eu60y13,readv2
E21y500,readv2
E21y200,readv2
Eu60312,readv2
Eu21.18,readv2
E212200,readv2
Eu62013,readv2
Eu62012,readv2
Eu62011,readv2
Eu62015,readv2
Eu62014,readv2
E2C3100,readv2
Eu63000,readv2
Eu63011,readv2
Eu63.00,readv2
Eu63z00,readv2
Eu63y00,readv2
Eu6y200,readv2
Eu6y111,readv2
E215100,readv2
Eu63300,readv2
E21y100,readv2
Eu60600,readv2
E2C0.00,readv2